strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Root_267,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_267,Root,267,IN,SW,2,IN-SW-2,1/2PDA++,10,IN-3-17
Root_269,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_269,Root,269,IN,SW,2,IN-SW-2,Armillaria,10,IN-3-4
Root_270,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_270,Root,270,IN,SW,2,IN-SW-2,SFA,10,IN-3-2
Root_277,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_277,Root,277,IN,NE,13,IN-NE-13,GYRBA,10,IN-3-21
Root_278,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_278,Root,278,IN,NE,13,IN-NE-13,GYRBA,10,IN-3-22
Root_281,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_281,Root,281,WA,SE,17,WA-SE-17,1/2PDA++,10,WA-3-18-1
Root_282,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_282,Root,282,WA,N,12,WA-N-12,Armillaria,10,WA-3-16
Root_283,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_283,Root,283,IN,NE,17,IN-NE-17,Armillaria,10,IN-3-24
Root_289,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_289,Root,289,WA,N,12,WA-N-12,SFA,10,WA-3-20
Root_291,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_291,Root,291,IN,NE,7,IN-NE-7,1/2PDA++,10,IN-3-19
Root_293,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_293,Root,293,WA,SW,9,WA-SW-9,1/2PDA++,10,WA-3-15
Root_294,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_294,Root,294,WA,N,7,WA-N-7,1/2PDA++,10,WA-3-10
Root_296,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_296,Root,296,WA,N,7,WA-N-7,1/2PDA++,10,WA-3-20
Root_297,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_297,Root,297,WA,SE,1,WA-SE-1,GYRBA,10,WA-3-4
Root_298,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_298,Root,298,WA,SE,3,WA-SE-3,MSJ,10,WA-3-18-2
Root_3,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_3,Root,3,WA,SE,3,WA-SE-3,1/2PDA++,10,WA-1-3
Root_312,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_312,Root,312,IN,SW,1,IN-SW-1,GYRBA,10,Single
Root_313,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_313,Root,313,IN,SW,1,IN-SW-1,GYRBA,10,IN-4-4
Root_314,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_314,Root,314,WA,SW,8,WA-SW-8,GYRBA,10,WA-4-4
Root_318,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_318,Root,318,WA,SW,8,WA-SW-8,GYRBA,10,WA-4-6
Root_319,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_319,Root,319,WA,SW,8,WA-SW-8,1/2PDA++,10,Single
Root_322,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_322,Root,322,WA,SW,8,WA-SW-8,1/2PDA++,10,WA-4-3
Root_329,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_329,Root,329,IN,NE,2,IN-NE-2,GYRBA,10,IN-4-2
Root_357,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_357,Root,357,IN,SW,1,IN-SW-1,MSJ,10,Single
Root_365,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_365,Root,365,WA,SW,4,WA-SW-4,1/2PDA++,10,WA-4-1
Root_367,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_367,Root,367,IN,NE,2,IN-NE-2,SFA,10,IN-4-8
Root_368,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_368,Root,368,IN,NE,2,IN-NE-2,MSJ,10,Single
